execution_id,robot,items,time_per_item,start_window,end_window,completed
108,R108,3,2,2025-02-21 01:50,2025-02-21 02:05,False
109,R109,2,5,2025-02-21 02:05,2025-02-21 02:10,False
110,R110,1,4,2025-02-21 02:10,2025-02-21 02:15,False
111,R111,1,5,2025-02-21 02:15,2025-02-21 02:20,False
112,R112,3,1,2025-02-21 02:20,2025-02-21 02:25,False
113,R113,1,2,2025-02-21 02:25,2025-02-21 02:30,False
114,R114,2,5,2025-02-21 02:30,2025-02-21 02:40,False
115,R115,1,2,2025-02-21 02:40,2025-02-21 02:55,False
116,R116,3,3,2025-02-21 02:55,2025-02-21 03:10,False
117,R117,2,4,2025-02-21 03:10,2025-02-21 03:15,False
118,R118,1,5,2025-02-21 03:15,2025-02-21 03:30,False
119,R119,1,1,2025-02-21 03:30,2025-02-21 03:35,False
120,R120,2,2,2025-02-21 03:35,2025-02-21 03:40,False
121,R121,3,4,2025-02-21 03:40,2025-02-21 03:45,False
122,R122,3,4,2025-02-21 03:45,2025-02-21 04:00,False
123,R123,2,2,2025-02-21 04:00,2025-02-21 04:15,False
124,R124,2,1,2025-02-21 04:15,2025-02-21 04:25,False
125,R125,1,5,2025-02-21 04:25,2025-02-21 04:30,False
126,R126,2,5,2025-02-21 04:30,2025-02-21 04:35,False
127,R127,1,5,2025-02-21 04:35,2025-02-21 04:45,False
128,R128,1,5,2025-02-21 04:45,2025-02-21 04:55,False
129,R129,3,1,2025-02-21 04:55,2025-02-21 05:10,False
130,R130,1,5,2025-02-21 05:10,2025-02-21 05:20,False
131,R131,3,1,2025-02-21 05:20,2025-02-21 05:30,False
132,R132,3,3,2025-02-21 05:30,2025-02-21 05:45,False
133,R133,1,3,2025-02-21 05:45,2025-02-21 05:55,False
134,R134,2,4,2025-02-21 05:55,2025-02-21 06:00,False
135,R135,3,1,2025-02-21 06:00,2025-02-21 06:10,False
136,R136,3,4,2025-02-21 06:10,2025-02-21 06:15,False
137,R137,2,3,2025-02-21 06:15,2025-02-21 06:30,False
138,R138,2,4,2025-02-21 06:30,2025-02-21 06:35,False
139,R139,1,5,2025-02-21 06:35,2025-02-21 06:40,False
140,R140,2,5,2025-02-21 06:40,2025-02-21 06:50,False
141,R141,1,1,2025-02-21 06:50,2025-02-21 07:05,False
142,R142,1,3,2025-02-21 07:05,2025-02-21 07:15,False
143,R143,3,3,2025-02-21 07:15,2025-02-21 07:25,False
144,R144,2,2,2025-02-21 07:25,2025-02-21 07:40,False
145,R145,3,1,2025-02-21 07:40,2025-02-21 07:55,False
146,R146,2,2,2025-02-21 07:55,2025-02-21 08:05,False
147,R147,3,1,2025-02-21 08:05,2025-02-21 08:10,False
148,R148,3,5,2025-02-21 08:10,2025-02-21 08:15,False
149,R149,2,3,2025-02-21 08:15,2025-02-21 08:20,False
150,R150,2,4,2025-02-21 08:20,2025-02-21 08:25,False
151,R151,2,2,2025-02-21 08:25,2025-02-21 08:35,False
152,R152,2,2,2025-02-21 08:35,2025-02-21 08:50,False
153,R153,2,3,2025-02-21 08:50,2025-02-21 09:00,False
154,R154,1,5,2025-02-21 09:00,2025-02-21 09:10,False
155,R155,1,4,2025-02-21 09:10,2025-02-21 09:25,False
156,R156,1,3,2025-02-21 09:25,2025-02-21 09:30,False
157,R157,3,5,2025-02-21 09:30,2025-02-21 09:35,False
158,R158,3,2,2025-02-21 09:35,2025-02-21 09:50,False
159,R159,1,3,2025-02-21 09:50,2025-02-21 09:55,False
160,R160,2,4,2025-02-21 09:55,2025-02-21 10:10,False
161,R161,3,5,2025-02-21 10:10,2025-02-21 10:25,False
162,R162,2,3,2025-02-21 10:25,2025-02-21 10:30,False
163,R163,2,4,2025-02-21 10:30,2025-02-21 10:35,False
164,R164,2,3,2025-02-21 10:35,2025-02-21 10:50,False
165,R165,3,5,2025-02-21 10:50,2025-02-21 11:00,False
166,R166,3,1,2025-02-21 11:00,2025-02-21 11:10,False
167,R167,1,4,2025-02-21 11:10,2025-02-21 11:20,False
168,R168,1,1,2025-02-21 11:20,2025-02-21 11:35,False
169,R169,1,2,2025-02-21 11:35,2025-02-21 11:45,False
170,R170,3,2,2025-02-21 11:45,2025-02-21 11:50,False
171,R171,2,4,2025-02-21 11:50,2025-02-21 11:55,False
172,R172,1,4,2025-02-21 11:55,2025-02-21 12:10,False
173,R173,2,1,2025-02-21 12:10,2025-02-21 12:20,False
174,R174,2,1,2025-02-21 12:20,2025-02-21 12:30,False
175,R175,3,5,2025-02-21 12:30,2025-02-21 12:40,False
176,R176,2,3,2025-02-21 12:40,2025-02-21 12:50,False
177,R177,3,2,2025-02-21 12:50,2025-02-21 13:05,False
178,R178,3,4,2025-02-21 13:05,2025-02-21 13:20,False
179,R179,3,2,2025-02-21 13:20,2025-02-21 13:35,False
180,R180,2,1,2025-02-21 13:35,2025-02-21 13:50,False
181,R181,1,5,2025-02-21 13:50,2025-02-21 14:05,False
182,R182,1,5,2025-02-21 14:05,2025-02-21 14:15,False
183,R183,3,4,2025-02-21 14:15,2025-02-21 14:20,False
184,R184,1,4,2025-02-21 14:20,2025-02-21 14:25,False
185,R185,3,4,2025-02-21 14:25,2025-02-21 14:35,False
186,R186,2,1,2025-02-21 14:35,2025-02-21 14:40,False
187,R187,3,1,2025-02-21 14:40,2025-02-21 14:50,False
188,R188,1,2,2025-02-21 14:50,2025-02-21 14:55,False
189,R189,1,4,2025-02-21 14:55,2025-02-21 15:10,False
190,R190,1,5,2025-02-21 15:10,2025-02-21 15:25,False
191,R191,2,3,2025-02-21 15:25,2025-02-21 15:35,False
192,R192,3,5,2025-02-21 15:35,2025-02-21 15:50,False
193,R193,1,5,2025-02-21 15:50,2025-02-21 16:05,False
194,R194,3,3,2025-02-21 16:05,2025-02-21 16:10,False
195,R195,1,2,2025-02-21 16:10,2025-02-21 16:20,False
196,R196,1,1,2025-02-21 16:20,2025-02-21 16:30,False
197,R197,3,2,2025-02-21 16:30,2025-02-21 16:35,False
198,R198,3,2,2025-02-21 16:35,2025-02-21 16:45,False
199,R199,3,4,2025-02-21 16:45,2025-02-21 17:00,False
200,R200,2,5,2025-02-21 17:00,2025-02-21 17:05,False
201,R201,3,5,2025-02-21 17:05,2025-02-21 17:10,False
202,R202,1,4,2025-02-21 17:10,2025-02-21 17:20,False
203,R203,2,2,2025-02-21 17:20,2025-02-21 17:30,False
204,R204,2,2,2025-02-21 17:30,2025-02-21 17:45,False
205,R205,3,5,2025-02-21 17:45,2025-02-21 17:55,False
206,R206,2,4,2025-02-21 17:55,2025-02-21 18:05,False
207,R207,3,2,2025-02-21 18:05,2025-02-21 18:10,False
208,R208,3,2,2025-02-21 18:10,2025-02-21 18:15,False
209,R209,2,3,2025-02-21 18:15,2025-02-21 18:30,False
210,R210,2,1,2025-02-21 18:30,2025-02-21 18:40,False
211,R211,3,4,2025-02-21 18:40,2025-02-21 18:45,False
212,R212,2,5,2025-02-21 18:45,2025-02-21 18:55,False
213,R213,1,1,2025-02-21 18:55,2025-02-21 19:00,False
214,R214,3,4,2025-02-21 19:00,2025-02-21 19:05,False
215,R215,2,5,2025-02-21 19:05,2025-02-21 19:20,False
216,R216,2,1,2025-02-21 19:20,2025-02-21 19:30,False
217,R217,3,3,2025-02-21 19:30,2025-02-21 19:45,False
218,R218,1,4,2025-02-21 19:45,2025-02-21 19:50,False
219,R219,1,3,2025-02-21 19:50,2025-02-21 19:55,False
220,R220,3,3,2025-02-21 19:55,2025-02-21 20:00,False
221,R221,2,1,2025-02-21 20:00,2025-02-21 20:10,False
222,R222,2,1,2025-02-21 20:10,2025-02-21 20:15,False
223,R223,3,3,2025-02-21 20:15,2025-02-21 20:30,False
224,R224,1,4,2025-02-21 20:30,2025-02-21 20:45,False
225,R225,3,4,2025-02-21 20:45,2025-02-21 20:50,False
226,R226,3,5,2025-02-21 20:50,2025-02-21 21:00,False
227,R227,1,3,2025-02-21 21:00,2025-02-21 21:15,False
228,R228,2,5,2025-02-21 21:15,2025-02-21 21:30,False
229,R229,1,2,2025-02-21 21:30,2025-02-21 21:35,False
230,R230,3,4,2025-02-21 21:35,2025-02-21 21:50,False
231,R231,3,2,2025-02-21 21:50,2025-02-21 22:00,False
232,R232,1,3,2025-02-21 22:00,2025-02-21 22:10,False
233,R233,2,4,2025-02-21 22:10,2025-02-21 22:25,False
234,R234,2,2,2025-02-21 22:25,2025-02-21 22:30,False
235,R235,2,3,2025-02-21 22:30,2025-02-21 22:40,False
236,R236,1,5,2025-02-21 22:40,2025-02-21 22:50,False
237,R237,3,1,2025-02-21 22:50,2025-02-21 22:55,False
238,R238,1,1,2025-02-21 22:55,2025-02-21 23:10,False
239,R239,3,3,2025-02-21 23:10,2025-02-21 23:25,False
240,R240,3,4,2025-02-21 23:25,2025-02-21 23:30,False
241,R241,3,4,2025-02-21 23:30,2025-02-21 23:45,False
242,R242,3,4,2025-02-21 23:45,2025-02-21 23:55,False
243,R243,3,2,2025-02-21 23:55,2025-02-22 00:10,False
244,R244,3,5,2025-02-22 00:10,2025-02-22 00:20,False
245,R245,2,2,2025-02-22 00:20,2025-02-22 00:30,False
246,R246,3,2,2025-02-22 00:30,2025-02-22 00:35,False
247,R247,1,1,2025-02-22 00:35,2025-02-22 00:45,False
248,R248,2,2,2025-02-22 00:45,2025-02-22 00:50,False
249,R249,3,4,2025-02-22 00:50,2025-02-22 01:05,False
250,R250,3,5,2025-02-22 01:05,2025-02-22 01:20,False
251,R251,3,1,2025-02-22 01:20,2025-02-22 01:30,False
252,R252,3,4,2025-02-22 01:30,2025-02-22 01:40,False
253,R253,3,5,2025-02-22 01:40,2025-02-22 01:50,False
254,R254,2,3,2025-02-22 01:50,2025-02-22 02:00,False
255,R255,2,2,2025-02-22 02:00,2025-02-22 02:10,False
256,R256,2,2,2025-02-22 02:10,2025-02-22 02:25,False
257,R257,2,1,2025-02-22 02:25,2025-02-22 02:30,False
258,R258,1,5,2025-02-22 02:30,2025-02-22 02:40,False
259,R259,3,1,2025-02-22 02:40,2025-02-22 02:45,False
260,R260,1,1,2025-02-22 02:45,2025-02-22 03:00,False
261,R261,3,1,2025-02-22 03:00,2025-02-22 03:10,False
262,R262,3,3,2025-02-22 03:10,2025-02-22 03:15,False
263,R263,1,2,2025-02-22 03:15,2025-02-22 03:25,False
264,R264,1,2,2025-02-22 03:25,2025-02-22 03:40,False
265,R265,2,2,2025-02-22 03:40,2025-02-22 03:45,False
266,R266,2,2,2025-02-22 03:45,2025-02-22 04:00,False
267,R267,3,1,2025-02-22 04:00,2025-02-22 04:10,False
268,R268,3,1,2025-02-22 04:10,2025-02-22 04:15,False
269,R269,1,1,2025-02-22 04:15,2025-02-22 04:30,False
270,R270,3,4,2025-02-22 04:30,2025-02-22 04:45,False
271,R271,2,5,2025-02-22 04:45,2025-02-22 04:50,False
272,R272,1,4,2025-02-22 04:50,2025-02-22 05:00,False
273,R273,3,2,2025-02-22 05:00,2025-02-22 05:10,False
274,R274,2,1,2025-02-22 05:10,2025-02-22 05:25,False
275,R275,1,4,2025-02-22 05:25,2025-02-22 05:30,False
276,R276,1,3,2025-02-22 05:30,2025-02-22 05:45,False
277,R277,1,3,2025-02-22 05:45,2025-02-22 05:50,False
278,R278,1,1,2025-02-22 05:50,2025-02-22 06:05,False
279,R279,2,4,2025-02-22 06:05,2025-02-22 06:10,False
280,R280,2,5,2025-02-22 06:10,2025-02-22 06:15,False
281,R281,2,4,2025-02-22 06:15,2025-02-22 06:30,False
282,R282,1,2,2025-02-22 06:30,2025-02-22 06:45,False
283,R283,3,2,2025-02-22 06:45,2025-02-22 06:55,False
284,R284,2,4,2025-02-22 06:55,2025-02-22 07:05,False
285,R285,2,3,2025-02-22 07:05,2025-02-22 07:20,False
286,R286,1,1,2025-02-22 07:20,2025-02-22 07:35,False
287,R287,3,5,2025-02-22 07:35,2025-02-22 07:45,False
288,R288,2,5,2025-02-22 07:45,2025-02-22 08:00,False
289,R289,3,2,2025-02-22 08:00,2025-02-22 08:10,False
290,R290,1,1,2025-02-22 08:10,2025-02-22 08:20,False
291,R291,2,2,2025-02-22 08:20,2025-02-22 08:25,False
292,R292,2,4,2025-02-22 08:25,2025-02-22 08:35,False
293,R293,3,3,2025-02-22 08:35,2025-02-22 08:50,False
294,R294,3,2,2025-02-22 08:50,2025-02-22 08:55,False
295,R295,1,2,2025-02-22 08:55,2025-02-22 09:10,False
296,R296,3,3,2025-02-22 09:10,2025-02-22 09:15,False
297,R297,1,4,2025-02-22 09:15,2025-02-22 09:30,False
298,R298,1,3,2025-02-22 09:30,2025-02-22 09:35,False
299,R299,3,2,2025-02-22 09:35,2025-02-22 09:40,False
300,R300,1,4,2025-02-22 09:40,2025-02-22 09:45,False
301,R301,1,5,2025-02-22 09:45,2025-02-22 09:50,False
302,R302,1,5,2025-02-22 09:50,2025-02-22 09:55,False
303,R303,3,5,2025-02-22 09:55,2025-02-22 10:00,False
304,R304,3,3,2025-02-22 10:00,2025-02-22 10:05,False
305,R305,2,5,2025-02-22 10:05,2025-02-22 10:20,False
306,R306,3,3,2025-02-22 10:20,2025-02-22 10:35,False
307,R307,2,1,2025-02-22 10:35,2025-02-22 10:50,False
308,R308,2,2,2025-02-22 10:50,2025-02-22 11:00,False
309,R309,1,1,2025-02-22 11:00,2025-02-22 11:15,False
310,R310,3,4,2025-02-22 11:15,2025-02-22 11:20,False
311,R311,2,1,2025-02-22 11:20,2025-02-22 11:30,False
312,R312,2,4,2025-02-22 11:30,2025-02-22 11:40,False
313,R313,1,2,2025-02-22 11:40,2025-02-22 11:55,False
314,R314,2,4,2025-02-22 11:55,2025-02-22 12:00,False
315,R315,2,3,2025-02-22 12:00,2025-02-22 12:05,False
316,R316,2,3,2025-02-22 12:05,2025-02-22 12:20,False
317,R317,2,1,2025-02-22 12:20,2025-02-22 12:25,False
318,R318,1,5,2025-02-22 12:25,2025-02-22 12:40,False
319,R319,2,1,2025-02-22 12:40,2025-02-22 12:50,False
320,R320,2,2,2025-02-22 12:50,2025-02-22 13:05,False
321,R321,3,5,2025-02-22 13:05,2025-02-22 13:15,False
322,R322,3,4,2025-02-22 13:15,2025-02-22 13:20,False
323,R323,1,3,2025-02-22 13:20,2025-02-22 13:30,False
324,R324,2,2,2025-02-22 13:30,2025-02-22 13:40,False
325,R325,3,5,2025-02-22 13:40,2025-02-22 13:45,False
326,R326,3,3,2025-02-22 13:45,2025-02-22 14:00,False
327,R327,3,4,2025-02-22 14:00,2025-02-22 14:10,False
328,R328,1,1,2025-02-22 14:10,2025-02-22 14:20,False
329,R329,3,1,2025-02-22 14:20,2025-02-22 14:35,False
330,R330,1,5,2025-02-22 14:35,2025-02-22 14:45,False
331,R331,2,1,2025-02-22 14:45,2025-02-22 14:55,False
332,R332,1,3,2025-02-22 14:55,2025-02-22 15:05,False
333,R333,3,1,2025-02-22 15:05,2025-02-22 15:20,False
334,R334,3,2,2025-02-22 15:20,2025-02-22 15:30,False
335,R335,1,4,2025-02-22 15:30,2025-02-22 15:35,False
336,R336,3,5,2025-02-22 15:35,2025-02-22 15:45,False
337,R337,2,5,2025-02-22 15:45,2025-02-22 15:55,False
338,R338,3,5,2025-02-22 15:55,2025-02-22 16:05,False
339,R339,2,2,2025-02-22 16:05,2025-02-22 16:15,False
340,R340,2,4,2025-02-22 16:15,2025-02-22 16:25,False
341,R341,3,2,2025-02-22 16:25,2025-02-22 16:35,False
342,R342,1,5,2025-02-22 16:35,2025-02-22 16:50,False
343,R343,3,5,2025-02-22 16:50,2025-02-22 17:05,False
344,R344,3,4,2025-02-22 17:05,2025-02-22 17:10,False
345,R345,1,2,2025-02-22 17:10,2025-02-22 17:25,False
346,R346,1,5,2025-02-22 17:25,2025-02-22 17:35,False
347,R347,2,4,2025-02-22 17:35,2025-02-22 17:45,False
348,R348,3,5,2025-02-22 17:45,2025-02-22 17:55,False
349,R349,2,3,2025-02-22 17:55,2025-02-22 18:00,False
350,R350,3,1,2025-02-22 18:00,2025-02-22 18:05,False
351,R351,1,1,2025-02-22 18:05,2025-02-22 18:15,False
352,R352,1,1,2025-02-22 18:15,2025-02-22 18:30,False
353,R353,2,4,2025-02-22 18:30,2025-02-22 18:45,False
354,R354,1,2,2025-02-22 18:45,2025-02-22 19:00,False
355,R355,3,3,2025-02-22 19:00,2025-02-22 19:15,False
356,R356,1,4,2025-02-22 19:15,2025-02-22 19:30,False
357,R357,2,4,2025-02-22 19:30,2025-02-22 19:45,False
358,R358,3,3,2025-02-22 19:45,2025-02-22 20:00,False
359,R359,3,5,2025-02-22 20:00,2025-02-22 20:05,False
360,R360,1,2,2025-02-22 20:05,2025-02-22 20:10,False
361,R361,3,2,2025-02-22 20:10,2025-02-22 20:20,False
362,R362,2,5,2025-02-22 20:20,2025-02-22 20:35,False
363,R363,3,2,2025-02-22 20:35,2025-02-22 20:50,False
364,R364,3,4,2025-02-22 20:50,2025-02-22 20:55,False
365,R365,2,4,2025-02-22 20:55,2025-02-22 21:00,False
366,R366,3,3,2025-02-22 21:00,2025-02-22 21:10,False
367,R367,2,3,2025-02-22 21:10,2025-02-22 21:20,False
368,R368,3,5,2025-02-22 21:20,2025-02-22 21:30,False
369,R369,2,5,2025-02-22 21:30,2025-02-22 21:45,False
370,R370,1,4,2025-02-22 21:45,2025-02-22 21:55,False
371,R371,1,5,2025-02-22 21:55,2025-02-22 22:10,False
372,R372,2,3,2025-02-22 22:10,2025-02-22 22:20,False
373,R373,3,4,2025-02-22 22:20,2025-02-22 22:35,False
374,R374,3,4,2025-02-22 22:35,2025-02-22 22:50,False
375,R375,1,3,2025-02-22 22:50,2025-02-22 23:05,False
376,R376,3,4,2025-02-22 23:05,2025-02-22 23:10,False
377,R377,3,5,2025-02-22 23:10,2025-02-22 23:15,False
378,R378,1,1,2025-02-22 23:15,2025-02-22 23:20,False
379,R379,1,5,2025-02-22 23:20,2025-02-22 23:30,False
380,R380,3,4,2025-02-22 23:30,2025-02-22 23:40,False
381,R381,3,1,2025-02-22 23:40,2025-02-22 23:50,False
382,R382,2,5,2025-02-22 23:50,2025-02-22 23:55,False
383,R383,2,4,2025-02-22 23:55,2025-02-23 00:10,False
384,R384,2,5,2025-02-23 00:10,2025-02-23 00:15,False
385,R385,2,3,2025-02-23 00:15,2025-02-23 00:25,False
386,R386,2,2,2025-02-23 00:25,2025-02-23 00:30,False
387,R387,2,4,2025-02-23 00:30,2025-02-23 00:35,False
388,R388,1,4,2025-02-23 00:35,2025-02-23 00:50,False
389,R389,1,3,2025-02-23 00:50,2025-02-23 01:00,False
390,R390,1,2,2025-02-23 01:00,2025-02-23 01:10,False
391,R391,3,2,2025-02-23 01:10,2025-02-23 01:25,False
392,R392,3,3,2025-02-23 01:25,2025-02-23 01:35,False
393,R393,1,5,2025-02-23 01:35,2025-02-23 01:45,False
394,R394,3,4,2025-02-23 01:45,2025-02-23 01:50,False
395,R395,1,1,2025-02-23 01:50,2025-02-23 01:55,False
396,R396,2,3,2025-02-23 01:55,2025-02-23 02:05,False
397,R397,2,5,2025-02-23 02:05,2025-02-23 02:20,False
398,R398,2,4,2025-02-23 02:20,2025-02-23 02:30,False
399,R399,2,3,2025-02-23 02:30,2025-02-23 02:45,False
400,R400,3,1,2025-02-23 02:45,2025-02-23 02:55,False
401,R401,1,5,2025-02-23 02:55,2025-02-23 03:10,False
402,R402,2,5,2025-02-23 03:10,2025-02-23 03:15,False
403,R403,2,5,2025-02-23 03:15,2025-02-23 03:25,False
404,R404,3,4,2025-02-23 03:25,2025-02-23 03:35,False
405,R405,3,4,2025-02-23 03:35,2025-02-23 03:40,False
406,R406,3,4,2025-02-23 03:40,2025-02-23 03:55,False
407,R407,2,2,2025-02-23 03:55,2025-02-23 04:05,False
408,R408,2,4,2025-02-23 04:05,2025-02-23 04:10,False
409,R409,3,2,2025-02-23 04:10,2025-02-23 04:15,False
410,R410,3,1,2025-02-23 04:15,2025-02-23 04:20,False
411,R411,2,5,2025-02-23 04:20,2025-02-23 04:30,False
412,R412,3,2,2025-02-23 04:30,2025-02-23 04:45,False
413,R413,3,2,2025-02-23 04:45,2025-02-23 04:55,False
414,R414,1,4,2025-02-23 04:55,2025-02-23 05:10,False
415,R415,2,1,2025-02-23 05:10,2025-02-23 05:15,False
416,R416,1,4,2025-02-23 05:15,2025-02-23 05:25,False
417,R417,1,3,2025-02-23 05:25,2025-02-23 05:30,False
418,R418,2,4,2025-02-23 05:30,2025-02-23 05:40,False
419,R419,3,4,2025-02-23 05:40,2025-02-23 05:50,False
420,R420,2,3,2025-02-23 05:50,2025-02-23 05:55,False
421,R421,1,1,2025-02-23 05:55,2025-02-23 06:00,False
422,R422,2,4,2025-02-23 06:00,2025-02-23 06:10,False
