robot,machine,date,start_time
R2,M1,2025-02-20,19:05
R3,M2,2025-02-20,19:15
R4,M3,2025-02-20,19:25
R5,M1,2025-02-20,19:35
R1,M2,2025-02-20,19:45
R2,M3,2025-02-20,19:50
R3,M3,2025-02-20,20:00
R4,M1,2025-02-20,20:15
R5,M1,2025-02-20,20:25
R1,M1,2025-02-20,20:30
R2,M3,2025-02-20,20:35
R3,M2,2025-02-20,20:40
R4,M1,2025-02-20,20:45
R5,M1,2025-02-20,20:55
R1,M2,2025-02-20,21:00
R2,M1,2025-02-20,21:15
R3,M3,2025-02-20,21:30
R4,M3,2025-02-20,21:35
R5,M3,2025-02-20,21:40
R1,M2,2025-02-20,21:50
R2,M3,2025-02-20,21:55
R3,M3,2025-02-20,22:10
R4,M2,2025-02-20,22:20
R5,M1,2025-02-20,22:30
R1,M2,2025-02-20,22:35
R2,M2,2025-02-20,22:50
R3,M2,2025-02-20,22:55
R4,M2,2025-02-20,23:10
R5,M3,2025-02-20,23:20
R1,M3,2025-02-20,23:35
R2,M1,2025-02-20,23:45
R3,M2,2025-02-20,23:55
R4,M1,2025-02-21,00:05
R5,M3,2025-02-21,00:15
R1,M2,2025-02-21,00:25
R2,M2,2025-02-21,00:30
R3,M2,2025-02-21,00:35
R4,M3,2025-02-21,00:40
R5,M3,2025-02-21,00:50
R1,M2,2025-02-21,01:05
R2,M1,2025-02-21,01:10
R3,M1,2025-02-21,01:15
R4,M1,2025-02-21,01:25
R5,M1,2025-02-21,01:40
R1,M2,2025-02-21,01:45
R2,M2,2025-02-21,01:55
R3,M2,2025-02-21,02:05
R4,M2,2025-02-21,02:15
R5,M3,2025-02-21,02:20
R1,M2,2025-02-21,02:30
R2,M1,2025-02-21,02:40
R3,M2,2025-02-21,02:45
R4,M3,2025-02-21,02:55
R5,M3,2025-02-21,03:05
R1,M1,2025-02-21,03:10
R2,M1,2025-02-21,03:20
R3,M3,2025-02-21,03:35
R4,M3,2025-02-21,03:50
R5,M2,2025-02-21,04:00
R1,M3,2025-02-21,04:05
R2,M3,2025-02-21,04:20
R3,M2,2025-02-21,04:35
R4,M3,2025-02-21,04:45
R5,M3,2025-02-21,04:55
R1,M1,2025-02-21,05:10
R2,M1,2025-02-21,05:15
R3,M1,2025-02-21,05:20
R4,M2,2025-02-21,05:35
R5,M3,2025-02-21,05:50
R1,M3,2025-02-21,06:00
R2,M2,2025-02-21,06:10
R3,M3,2025-02-21,06:25
R4,M2,2025-02-21,06:30
R5,M3,2025-02-21,06:35
R1,M3,2025-02-21,06:50
R2,M1,2025-02-21,07:00
R3,M3,2025-02-21,07:05
R4,M1,2025-02-21,07:10
R5,M1,2025-02-21,07:15
R1,M1,2025-02-21,07:30
R2,M1,2025-02-21,07:35
R3,M1,2025-02-21,07:40
R4,M3,2025-02-21,07:55
R5,M1,2025-02-21,08:00
R1,M1,2025-02-21,08:15
R2,M3,2025-02-21,08:25
R3,M3,2025-02-21,08:35
R4,M1,2025-02-21,08:40
R5,M2,2025-02-21,08:55
R1,M2,2025-02-21,09:10
R2,M2,2025-02-21,09:25
R3,M2,2025-02-21,09:30
R4,M1,2025-02-21,09:45
R5,M2,2025-02-21,09:50
R1,M2,2025-02-21,10:05
R2,M2,2025-02-21,10:20
R3,M2,2025-02-21,10:30
R4,M3,2025-02-21,10:35
R5,M1,2025-02-21,10:40
R1,M1,2025-02-21,10:55
R2,M3,2025-02-21,11:00
R3,M2,2025-02-21,11:05
R4,M2,2025-02-21,11:15
R5,M1,2025-02-21,11:25
R1,M1,2025-02-21,11:40
R2,M2,2025-02-21,11:45
R3,M3,2025-02-21,11:55
R4,M2,2025-02-21,12:00
R5,M2,2025-02-21,12:10
R1,M3,2025-02-21,12:25
R2,M2,2025-02-21,12:35
R3,M3,2025-02-21,12:45
R4,M3,2025-02-21,12:55
R5,M3,2025-02-21,13:05
R1,M3,2025-02-21,13:15
R2,M1,2025-02-21,13:25
R3,M3,2025-02-21,13:40
R4,M3,2025-02-21,13:45
R5,M3,2025-02-21,13:50
R1,M2,2025-02-21,14:05
R2,M3,2025-02-21,14:20
R3,M3,2025-02-21,14:25
R4,M3,2025-02-21,14:30
R5,M2,2025-02-21,14:45
R1,M2,2025-02-21,14:50
R2,M3,2025-02-21,15:00
R3,M3,2025-02-21,15:15
R4,M1,2025-02-21,15:30
R5,M2,2025-02-21,15:35
R1,M1,2025-02-21,15:40
R2,M2,2025-02-21,15:55
R3,M1,2025-02-21,16:05
R4,M2,2025-02-21,16:10
R5,M2,2025-02-21,16:25
R1,M1,2025-02-21,16:40
R2,M3,2025-02-21,16:55
R3,M1,2025-02-21,17:10
R4,M3,2025-02-21,17:20
R5,M3,2025-02-21,17:30
R1,M1,2025-02-21,17:35
R2,M1,2025-02-21,17:40
R3,M1,2025-02-21,17:50
R4,M1,2025-02-21,18:00
R5,M3,2025-02-21,18:05
R1,M3,2025-02-21,18:15
R2,M1,2025-02-21,18:30
R3,M3,2025-02-21,18:45
R4,M2,2025-02-21,18:50
R5,M1,2025-02-21,19:05
R1,M2,2025-02-21,19:20
R2,M1,2025-02-21,19:35
R3,M1,2025-02-21,19:40
R4,M3,2025-02-21,19:55
R5,M3,2025-02-21,20:00
R1,M1,2025-02-21,20:05
R2,M2,2025-02-21,20:10
R3,M2,2025-02-21,20:20
R4,M3,2025-02-21,20:30
R5,M1,2025-02-21,20:45
R1,M3,2025-02-21,21:00
R2,M3,2025-02-21,21:10
R3,M1,2025-02-21,21:25
R4,M2,2025-02-21,21:40
R5,M1,2025-02-21,21:55
R1,M1,2025-02-21,22:10
R2,M1,2025-02-21,22:25
R3,M2,2025-02-21,22:30
R4,M2,2025-02-21,22:35
R5,M1,2025-02-21,22:50
R1,M3,2025-02-21,23:00
R2,M2,2025-02-21,23:15
R3,M1,2025-02-21,23:25
R4,M2,2025-02-21,23:35
R5,M2,2025-02-21,23:45
R1,M1,2025-02-22,00:00
R2,M3,2025-02-22,00:15
R3,M2,2025-02-22,00:30
R4,M1,2025-02-22,00:45
R5,M3,2025-02-22,00:55
R1,M3,2025-02-22,01:00
R2,M3,2025-02-22,01:15
R3,M1,2025-02-22,01:20
R4,M2,2025-02-22,01:35
R5,M3,2025-02-22,01:40
R1,M2,2025-02-22,01:45
R2,M1,2025-02-22,01:55
R3,M3,2025-02-22,02:00
R4,M1,2025-02-22,02:15
R5,M2,2025-02-22,02:25
R1,M1,2025-02-22,02:35
R2,M2,2025-02-22,02:45
R3,M2,2025-02-22,02:50
R4,M2,2025-02-22,03:00
R5,M2,2025-02-22,03:05
R1,M3,2025-02-22,03:20
R2,M3,2025-02-22,03:25
R3,M1,2025-02-22,03:40
R4,M2,2025-02-22,03:50
R5,M1,2025-02-22,04:05
R1,M1,2025-02-22,04:20
R2,M1,2025-02-22,04:25
R3,M1,2025-02-22,04:35
R4,M1,2025-02-22,04:45
R5,M3,2025-02-22,05:00
R1,M3,2025-02-22,05:05
R2,M1,2025-02-22,05:15
R3,M3,2025-02-22,05:25
R4,M3,2025-02-22,05:40
R5,M1,2025-02-22,05:50
R1,M2,2025-02-22,06:00
R2,M3,2025-02-22,06:05
R3,M3,2025-02-22,06:10
R4,M3,2025-02-22,06:15
R5,M3,2025-02-22,06:30
R1,M3,2025-02-22,06:40
R2,M1,2025-02-22,06:55
R3,M1,2025-02-22,07:05
R4,M1,2025-02-22,07:10
R5,M1,2025-02-22,07:15
R1,M1,2025-02-22,07:25
R2,M2,2025-02-22,07:35
R3,M1,2025-02-22,07:50
R4,M2,2025-02-22,08:00
R5,M1,2025-02-22,08:10
R1,M1,2025-02-22,08:20
R2,M1,2025-02-22,08:30
R3,M1,2025-02-22,08:45
R4,M3,2025-02-22,09:00
R5,M3,2025-02-22,09:05
R1,M3,2025-02-22,09:20
R2,M1,2025-02-22,09:25
R3,M2,2025-02-22,09:35
R4,M3,2025-02-22,09:40
R5,M2,2025-02-22,09:45
R1,M1,2025-02-22,09:55
R2,M1,2025-02-22,10:05
R3,M2,2025-02-22,10:15
R4,M2,2025-02-22,10:25
R5,M3,2025-02-22,10:35
R1,M3,2025-02-22,10:50
R2,M1,2025-02-22,10:55
R3,M2,2025-02-22,11:05
R4,M3,2025-02-22,11:10
R5,M3,2025-02-22,11:25
R1,M1,2025-02-22,11:30
R2,M2,2025-02-22,11:45
R3,M3,2025-02-22,12:00
R4,M2,2025-02-22,12:10
R5,M1,2025-02-22,12:15
R1,M2,2025-02-22,12:20
R2,M2,2025-02-22,12:25
R3,M3,2025-02-22,12:40
R4,M3,2025-02-22,12:55
R5,M3,2025-02-22,13:10
R1,M1,2025-02-22,13:15
R2,M2,2025-02-22,13:25
R3,M1,2025-02-22,13:40
R4,M1,2025-02-22,13:50
R5,M1,2025-02-22,14:00
R1,M3,2025-02-22,14:15
R2,M1,2025-02-22,14:20
R3,M1,2025-02-22,14:30
R4,M3,2025-02-22,14:40
R5,M3,2025-02-22,14:50
R1,M1,2025-02-22,15:00
R2,M1,2025-02-22,15:10
R3,M2,2025-02-22,15:15
R4,M2,2025-02-22,15:30
R5,M2,2025-02-22,15:45
R1,M3,2025-02-22,15:50
R2,M2,2025-02-22,16:05
R3,M2,2025-02-22,16:10
R4,M1,2025-02-22,16:15
R5,M1,2025-02-22,16:25
R1,M3,2025-02-22,16:30
R2,M3,2025-02-22,16:40
R3,M2,2025-02-22,16:50
R4,M1,2025-02-22,17:00
R5,M2,2025-02-22,17:05
R1,M1,2025-02-22,17:10
R2,M2,2025-02-22,17:20
R3,M3,2025-02-22,17:30
R4,M1,2025-02-22,17:35
R5,M1,2025-02-22,17:45
R1,M3,2025-02-22,18:00
R2,M3,2025-02-22,18:15
R3,M1,2025-02-22,18:20
R4,M3,2025-02-22,18:35
R5,M3,2025-02-22,18:40
R1,M2,2025-02-22,18:55
R2,M2,2025-02-22,19:05
R3,M1,2025-02-22,19:15
R4,M2,2025-02-22,19:25
R5,M3,2025-02-22,19:35
R1,M2,2025-02-22,19:45
R2,M1,2025-02-22,19:55
R3,M1,2025-02-22,20:00
R4,M2,2025-02-22,20:15
R5,M3,2025-02-22,20:25
R1,M1,2025-02-22,20:30
R2,M3,2025-02-22,20:45
R3,M3,2025-02-22,21:00
R4,M2,2025-02-22,21:05
R5,M2,2025-02-22,21:20
R1,M1,2025-02-22,21:35
R2,M3,2025-02-22,21:45
R3,M2,2025-02-22,22:00
R4,M3,2025-02-22,22:15
R5,M3,2025-02-22,22:25
R1,M1,2025-02-22,22:30
R2,M2,2025-02-22,22:35
R3,M1,2025-02-22,22:50
R4,M1,2025-02-22,23:00
R5,M3,2025-02-22,23:15
R1,M2,2025-02-22,23:30
R2,M2,2025-02-22,23:35
R3,M2,2025-02-22,23:50
R4,M1,2025-02-23,00:00
R5,M2,2025-02-23,00:15
R1,M1,2025-02-23,00:25
R2,M1,2025-02-23,00:35
R3,M3,2025-02-23,00:40
R4,M3,2025-02-23,00:55
R5,M3,2025-02-23,01:10
R1,M1,2025-02-23,01:20
R2,M3,2025-02-23,01:30
R3,M2,2025-02-23,01:40
R4,M1,2025-02-23,01:45
R5,M2,2025-02-23,01:50
R1,M3,2025-02-23,02:00
R2,M2,2025-02-23,02:15
R3,M1,2025-02-23,02:20
R4,M3,2025-02-23,02:25
R5,M2,2025-02-23,02:40
R1,M2,2025-02-23,02:45
R2,M3,2025-02-23,02:55
R3,M1,2025-02-23,03:00
R4,M2,2025-02-23,03:10
R5,M1,2025-02-23,03:20
R1,M2,2025-02-23,03:25
R2,M3,2025-02-23,03:35
R3,M3,2025-02-23,03:40
R4,M2,2025-02-23,03:50
R5,M2,2025-02-23,04:05
R1,M2,2025-02-23,04:20
R2,M3,2025-02-23,04:25
R3,M2,2025-02-23,04:40
R4,M1,2025-02-23,04:55
R5,M1,2025-02-23,05:10
R1,M1,2025-02-23,05:15
R2,M3,2025-02-23,05:25
R3,M3,2025-02-23,05:30
R4,M3,2025-02-23,05:35
R5,M1,2025-02-23,05:45
R1,M3,2025-02-23,05:50
R2,M1,2025-02-23,06:05
R3,M1,2025-02-23,06:20
R4,M3,2025-02-23,06:25
R5,M3,2025-02-23,06:40
R1,M3,2025-02-23,06:50
R2,M2,2025-02-23,07:05
R3,M1,2025-02-23,07:10
R4,M2,2025-02-23,07:20
R5,M1,2025-02-23,07:30
R1,M1,2025-02-23,07:40
R2,M3,2025-02-23,07:55
R3,M1,2025-02-23,08:10
R4,M3,2025-02-23,08:25
R5,M1,2025-02-23,08:35
R1,M3,2025-02-23,08:45
R2,M2,2025-02-23,08:50
R3,M2,2025-02-23,08:55
R4,M2,2025-02-23,09:05
R5,M1,2025-02-23,09:10
R1,M1,2025-02-23,09:20
R2,M3,2025-02-23,09:25
R3,M1,2025-02-23,09:35
R4,M1,2025-02-23,09:50
R5,M1,2025-02-23,10:00
R1,M2,2025-02-23,10:15
R2,M3,2025-02-23,10:20
R3,M2,2025-02-23,10:25
R4,M2,2025-02-23,10:35
R5,M1,2025-02-23,10:40
R1,M1,2025-02-23,10:55
R2,M3,2025-02-23,11:10
R3,M1,2025-02-23,11:25
R4,M3,2025-02-23,11:30
R5,M1,2025-02-23,11:35
R1,M3,2025-02-23,11:45
R2,M3,2025-02-23,11:50
R3,M2,2025-02-23,12:00
R4,M1,2025-02-23,12:10
R5,M3,2025-02-23,12:15
R1,M2,2025-02-23,12:30
R2,M1,2025-02-23,12:45
R3,M2,2025-02-23,12:50
R4,M3,2025-02-23,12:55
R5,M1,2025-02-23,13:05
R1,M2,2025-02-23,13:20
R2,M2,2025-02-23,13:25
R3,M1,2025-02-23,13:30
R4,M2,2025-02-23,13:35
R5,M2,2025-02-23,13:40
R1,M3,2025-02-23,13:45
R2,M2,2025-02-23,14:00
R3,M1,2025-02-23,14:15
R4,M2,2025-02-23,14:30
R5,M2,2025-02-23,14:40
R1,M2,2025-02-23,14:50
R2,M2,2025-02-23,15:00
R3,M1,2025-02-23,15:05
R4,M2,2025-02-23,15:10
R5,M3,2025-02-23,15:25
R1,M2,2025-02-23,15:40
R2,M1,2025-02-23,15:50
R3,M1,2025-02-23,16:05
R4,M2,2025-02-23,16:15
R5,M2,2025-02-23,16:20
R1,M3,2025-02-23,16:25
R2,M2,2025-02-23,16:30
R3,M2,2025-02-23,16:35
R4,M3,2025-02-23,16:45
R5,M1,2025-02-23,17:00
R1,M3,2025-02-23,17:15
R2,M1,2025-02-23,17:20
R3,M1,2025-02-23,17:35
R4,M3,2025-02-23,17:50
R5,M3,2025-02-23,17:55
R1,M1,2025-02-23,18:10
R2,M3,2025-02-23,18:15
R3,M3,2025-02-23,18:30
R4,M1,2025-02-23,18:45
R5,M1,2025-02-23,18:55
R1,M2,2025-02-23,19:00
R2,M2,2025-02-23,19:15
R3,M1,2025-02-23,19:30
R4,M3,2025-02-23,19:45
R5,M3,2025-02-23,20:00
R1,M2,2025-02-23,20:15
R2,M1,2025-02-23,20:30
R3,M2,2025-02-23,20:40
R4,M2,2025-02-23,20:50
R5,M1,2025-02-23,21:05
R1,M2,2025-02-23,21:20
R2,M3,2025-02-23,21:35
R3,M3,2025-02-23,21:40
R4,M3,2025-02-23,21:50
R5,M2,2025-02-23,22:05
R1,M1,2025-02-23,22:10
R2,M2,2025-02-23,22:20
R3,M2,2025-02-23,22:30
R4,M2,2025-02-23,22:45
R5,M3,2025-02-23,23:00
R1,M2,2025-02-23,23:10
R2,M1,2025-02-23,23:15
R3,M3,2025-02-23,23:30
R4,M3,2025-02-23,23:35
R5,M1,2025-02-23,23:45
R1,M1,2025-02-23,23:50
R2,M1,2025-02-23,23:55
R3,M1,2025-02-24,00:05
R4,M2,2025-02-24,00:15
R5,M2,2025-02-24,00:25
R1,M1,2025-02-24,00:40
R2,M1,2025-02-24,00:50
R3,M3,2025-02-24,00:55
R4,M2,2025-02-24,01:10
R5,M3,2025-02-24,01:15
R1,M1,2025-02-24,01:25
R2,M3,2025-02-24,01:30
R3,M2,2025-02-24,01:45
R4,M1,2025-02-24,02:00
R5,M1,2025-02-24,02:10
R1,M3,2025-02-24,02:15
R2,M3,2025-02-24,02:20
R3,M3,2025-02-24,02:35
R4,M1,2025-02-24,02:45
R5,M1,2025-02-24,02:55
R1,M3,2025-02-24,03:05
R2,M3,2025-02-24,03:20
R3,M1,2025-02-24,03:30
R4,M2,2025-02-24,03:35
R5,M3,2025-02-24,03:50
R1,M1,2025-02-24,03:55
R2,M3,2025-02-24,04:00
R3,M3,2025-02-24,04:10
R4,M3,2025-02-24,04:20
R5,M3,2025-02-24,04:35
R1,M2,2025-02-24,04:50
R2,M1,2025-02-24,05:00
R3,M2,2025-02-24,05:10
R4,M1,2025-02-24,05:20
R5,M2,2025-02-24,05:35
R1,M2,2025-02-24,05:45
R2,M3,2025-02-24,06:00
R3,M2,2025-02-24,06:05
R4,M1,2025-02-24,06:10
R5,M1,2025-02-24,06:25
R1,M3,2025-02-24,06:40
R2,M1,2025-02-24,06:45
R3,M3,2025-02-24,07:00
R4,M2,2025-02-24,07:10
R5,M1,2025-02-24,07:20
R1,M2,2025-02-24,07:35
R2,M3,2025-02-24,07:40
R3,M1,2025-02-24,07:50
R4,M3,2025-02-24,08:05
R5,M2,2025-02-24,08:15
R1,M1,2025-02-24,08:20
R2,M2,2025-02-24,08:35
R3,M1,2025-02-24,08:40
R4,M2,2025-02-24,08:45
R5,M2,2025-02-24,09:00
R1,M3,2025-02-24,09:05
R2,M3,2025-02-24,09:20
R3,M2,2025-02-24,09:35
R4,M3,2025-02-24,09:50
R5,M1,2025-02-24,10:00
R1,M2,2025-02-24,10:05
R2,M2,2025-02-24,10:10
R3,M3,2025-02-24,10:20
R4,M1,2025-02-24,10:30
R5,M2,2025-02-24,10:35
R1,M2,2025-02-24,10:45
R2,M1,2025-02-24,11:00
R3,M3,2025-02-24,11:05
R4,M2,2025-02-24,11:20
R5,M1,2025-02-24,11:25
R1,M2,2025-02-24,11:35
R2,M3,2025-02-24,11:40
R3,M2,2025-02-24,11:55
R4,M2,2025-02-24,12:05
R5,M1,2025-02-24,12:15
R1,M1,2025-02-24,12:20
R2,M3,2025-02-24,12:30
R3,M3,2025-02-24,12:45
R4,M3,2025-02-24,12:50
R5,M1,2025-02-24,13:00
R1,M3,2025-02-24,13:05
R2,M2,2025-02-24,13:10
R3,M3,2025-02-24,13:25
R4,M2,2025-02-24,13:35
R5,M1,2025-02-24,13:40
R1,M3,2025-02-24,13:50
R2,M1,2025-02-24,14:00
R3,M3,2025-02-24,14:15
R4,M2,2025-02-24,14:25
R5,M1,2025-02-24,14:35
R1,M3,2025-02-24,14:45
R2,M1,2025-02-24,14:55
R3,M2,2025-02-24,15:05
R4,M2,2025-02-24,15:15
R5,M3,2025-02-24,15:25
R1,M3,2025-02-24,15:30
R2,M3,2025-02-24,15:35
R3,M1,2025-02-24,15:50
R4,M2,2025-02-24,16:00
R5,M2,2025-02-24,16:15
R1,M2,2025-02-24,16:25
R2,M3,2025-02-24,16:30
R3,M3,2025-02-24,16:35
R4,M3,2025-02-24,16:45
R5,M3,2025-02-24,16:50
R1,M3,2025-02-24,17:00
R2,M3,2025-02-24,17:10
R3,M1,2025-02-24,17:25
R4,M1,2025-02-24,17:35
R5,M1,2025-02-24,17:45
R1,M1,2025-02-24,18:00
R2,M2,2025-02-24,18:15
R3,M1,2025-02-24,18:20
R4,M2,2025-02-24,18:25
R5,M3,2025-02-24,18:30
R1,M1,2025-02-24,18:35
R2,M2,2025-02-24,18:50
R3,M1,2025-02-24,18:55
R4,M2,2025-02-24,19:10
R5,M1,2025-02-24,19:20
R1,M2,2025-02-24,19:35
R2,M2,2025-02-24,19:50
R3,M2,2025-02-24,19:55
R4,M1,2025-02-24,20:05
R5,M3,2025-02-24,20:15
R1,M3,2025-02-24,20:20
R2,M1,2025-02-24,20:30
R3,M1,2025-02-24,20:45
R4,M3,2025-02-24,20:50
R5,M3,2025-02-24,20:55
R1,M3,2025-02-24,21:00
R2,M1,2025-02-24,21:10
R3,M1,2025-02-24,21:25
R4,M3,2025-02-24,21:35
R5,M1,2025-02-24,21:40
R1,M2,2025-02-24,21:45
R2,M2,2025-02-24,21:50
R3,M3,2025-02-24,22:00
R4,M3,2025-02-24,22:15
R5,M1,2025-02-24,22:25
R1,M3,2025-02-24,22:40
R2,M3,2025-02-24,22:45
R3,M2,2025-02-24,22:55
R4,M2,2025-02-24,23:10
R5,M2,2025-02-24,23:15
R1,M2,2025-02-24,23:30
R2,M3,2025-02-24,23:40
R3,M3,2025-02-24,23:50
R4,M2,2025-02-25,00:00
R5,M2,2025-02-25,00:15
R1,M3,2025-02-25,00:30
R2,M2,2025-02-25,00:40
R3,M1,2025-02-25,00:55
R4,M2,2025-02-25,01:05
R5,M2,2025-02-25,01:15
R1,M1,2025-02-25,01:25
R2,M3,2025-02-25,01:35
R3,M2,2025-02-25,01:45
R4,M2,2025-02-25,01:55
R5,M1,2025-02-25,02:00
R1,M2,2025-02-25,02:05
R2,M3,2025-02-25,02:15
R3,M1,2025-02-25,02:30
R4,M3,2025-02-25,02:35
R5,M3,2025-02-25,02:40
R1,M3,2025-02-25,02:50
R2,M3,2025-02-25,03:05
R3,M2,2025-02-25,03:10
R4,M3,2025-02-25,03:15
R5,M1,2025-02-25,03:20
R1,M3,2025-02-25,03:35
R2,M2,2025-02-25,03:40
R3,M3,2025-02-25,03:45
R4,M1,2025-02-25,03:50
R5,M1,2025-02-25,04:00
R1,M3,2025-02-25,04:15
R2,M1,2025-02-25,04:30
R3,M3,2025-02-25,04:40
R4,M1,2025-02-25,04:55
R5,M2,2025-02-25,05:05
R1,M2,2025-02-25,05:20
R2,M1,2025-02-25,05:25
R3,M3,2025-02-25,05:40
R4,M1,2025-02-25,05:50
R5,M3,2025-02-25,06:00
R1,M1,2025-02-25,06:10
R2,M3,2025-02-25,06:20
R3,M2,2025-02-25,06:25
R4,M2,2025-02-25,06:40
R5,M2,2025-02-25,06:50
R1,M1,2025-02-25,07:00
R2,M2,2025-02-25,07:10
R3,M1,2025-02-25,07:15
R4,M3,2025-02-25,07:25
R5,M1,2025-02-25,07:40
R1,M2,2025-02-25,07:55
R2,M2,2025-02-25,08:05
R3,M2,2025-02-25,08:15
R4,M2,2025-02-25,08:20
R5,M3,2025-02-25,08:25
R1,M1,2025-02-25,08:30
R2,M1,2025-02-25,08:40
R3,M1,2025-02-25,08:55
R4,M3,2025-02-25,09:00
R5,M1,2025-02-25,09:15
R1,M3,2025-02-25,09:30
R2,M1,2025-02-25,09:35
R3,M2,2025-02-25,09:45
R4,M2,2025-02-25,09:55
R5,M2,2025-02-25,10:05
R1,M1,2025-02-25,10:15
R2,M3,2025-02-25,10:25
R3,M2,2025-02-25,10:30
R4,M3,2025-02-25,10:45
R5,M1,2025-02-25,10:50
R1,M3,2025-02-25,10:55
R2,M2,2025-02-25,11:05
R3,M1,2025-02-25,11:10
R4,M1,2025-02-25,11:15
R5,M2,2025-02-25,11:20
R1,M2,2025-02-25,11:30
R2,M3,2025-02-25,11:35
R3,M3,2025-02-25,11:50
R4,M2,2025-02-25,12:00
R5,M3,2025-02-25,12:15
R1,M3,2025-02-25,12:20
R2,M3,2025-02-25,12:25
R3,M3,2025-02-25,12:35
R4,M1,2025-02-25,12:50
R5,M2,2025-02-25,13:05
R1,M1,2025-02-25,13:20
R2,M1,2025-02-25,13:30
R3,M1,2025-02-25,13:45
R4,M2,2025-02-25,14:00
R5,M1,2025-02-25,14:05
R1,M1,2025-02-25,14:10
R2,M2,2025-02-25,14:15
R3,M3,2025-02-25,14:20
R4,M3,2025-02-25,14:35
R5,M3,2025-02-25,14:40
R1,M1,2025-02-25,14:55
R2,M2,2025-02-25,15:10
R3,M3,2025-02-25,15:15
R4,M3,2025-02-25,15:25
R5,M2,2025-02-25,15:35
R1,M2,2025-02-25,15:50
R2,M2,2025-02-25,16:00
R3,M3,2025-02-25,16:10
R4,M1,2025-02-25,16:15
R5,M3,2025-02-25,16:20
R1,M3,2025-02-25,16:30
R2,M2,2025-02-25,16:40
R3,M1,2025-02-25,16:55
R4,M2,2025-02-25,17:10
R5,M3,2025-02-25,17:25
R1,M2,2025-02-25,17:35
R2,M3,2025-02-25,17:50
R3,M3,2025-02-25,18:05
R4,M3,2025-02-25,18:10
R5,M1,2025-02-25,18:20
R1,M1,2025-02-25,18:30
R2,M2,2025-02-25,18:45
R3,M1,2025-02-25,19:00
R4,M2,2025-02-25,19:05
R5,M2,2025-02-25,19:10
R1,M1,2025-02-25,19:20
R2,M1,2025-02-25,19:35
R3,M1,2025-02-25,19:50
R4,M2,2025-02-25,20:00
R5,M1,2025-02-25,20:15
R1,M1,2025-02-25,20:20
R2,M1,2025-02-25,20:30
R3,M2,2025-02-25,20:35
R4,M2,2025-02-25,20:45
R5,M3,2025-02-25,21:00
R1,M2,2025-02-25,21:15
R2,M3,2025-02-25,21:30
R3,M3,2025-02-25,21:35
R4,M2,2025-02-25,21:40
R5,M2,2025-02-25,21:55
R1,M2,2025-02-25,22:00
R2,M2,2025-02-25,22:10
R3,M2,2025-02-25,22:15
R4,M1,2025-02-25,22:25
R5,M3,2025-02-25,22:40
R1,M1,2025-02-25,22:55
R2,M3,2025-02-25,23:10
R3,M3,2025-02-25,23:25
R4,M3,2025-02-25,23:40
R5,M2,2025-02-25,23:55
R1,M2,2025-02-26,00:10
R2,M3,2025-02-26,00:20
R3,M3,2025-02-26,00:25
